Helpful,Comments
Yes,"Really liked how personalized the quizzes felt."
Yes,"Would love to see support for more technical topics like cybersecurity."
No,"The quiz took too long to load on my first try."
Yes,"Great idea! But maybe add code hints or links when questions are missed."
Yes,"Love the concept. The UI is very clean."
No,"Some questions felt repetitive or too easy for my level."
Yes,"The summary at the end was very helpful, especially the YouTube link."
Yes,"Nice project! It helped reinforce concepts I'd forgotten."
No,"Could use better styling or more color variety in dark mode."
Yes,"Great for brushing up before an interview!"
